City,State,Metro,County Name,Price,Earthquake Grants,Fire Grants,Flood Grants,Hurricane Grants,Mud/Landslide Grants,Other Grants,Severe Storm Grants,Tornado Grants,Earthquake Events,Fire Events,Flood Events,Hurricane Events,Mud/Landslide Events,Other Events,Severe Storm Events,Tornado Events
Parkville,MD,Baltimore,Baltimore,209900.0,,,,,,,,,,,,,,,,
Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,750000.0,,,,,,,,,,,,,,,,
Brownsville,TX,Brownsville,Cameron,127000.0,,,,27464278.84,,,388985.17,,,,,116.0,,,21.0,
Virginia Beach,VA,Virginia Beach,Virginia Beach City,252000.0,,,,,,,,,,,,,,,,
Houston,TX,Houston,Harris,359000.0,,,48611960.21,260245203.5,,,26701559.42,,,,311.0,554.0,,,360.0,
Alameda,CA,San Francisco,Alameda,849475.0,,,,,,,,,,,,,,,,
Duluth,GA,Atlanta,Gwinnett,249900.0,,,,,,,14571208.44,,,,,,,,70.0,
Austin,TX,Austin,Travis,559000.0,,1351451.95,516476.41,,,,7293313.17,,,14.0,23.0,,,,87.0,
Redmond,WA,Seattle,King,725000.0,,,2960015.36,,,,3289894.16,,,,93.0,,,,117.0,
Tomball,TX,Houston,Harris,313445.0,,,48611960.21,260245203.5,,,26701559.42,,,,311.0,554.0,,,360.0,
Dallas,TX,Dallas-Fort Worth,Dallas,251250.0,,,,,,,2753419.78,,,,,,,,128.0,
New York,NY,New York,Kings,799000.0,,,,479132635.5,,,,,,,,343.0,,,,
San Antonio,TX,San Antonio,Bexar,219500.0,,,,,,,2107053.59,,,,,,,,70.0,
New York,NY,New York,Kings,619500.0,,,,479132635.5,,,,,,,,343.0,,,,
Lakewood,NJ,New York,Ocean,239000.0,,,,907049858.8,,,1874329.46,,,,,846.0,,,54.0,
New York,NY,New York,Kings,449000.0,,,,479132635.5,,,,,,,,343.0,,,,
Chicago,IL,Chicago,Cook,99219.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
San Francisco,CA,San Francisco,San Francisco,1195000.0,,,,,,,,,,,,,,,,
San Marcos,TX,Austin,Hays,269990.0,,238951.3,,,,,13665581.97,,,6.0,,,,,72.0,
Suwanee,GA,Atlanta,Gwinnett,420000.0,,,1082755.35,,,,30095860.69,,,,29.0,,,,269.0,
Chicago,IL,Chicago,Cook,499999.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
New York,NY,New York,New York,1695000.0,,,,24625132.25,,,,,,,,442.0,,,,
Lakewood,OH,Cleveland,Cuyahoga,172950.0,,,,,,,,,,,,,,,,
Lewisville,TX,Dallas-Fort Worth,Denton,273750.0,,,,,,,3130743.43,,,,,,,,173.0,
Miramar,FL,Miami-Fort Lauderdale,Broward,215000.0,,,,,,,,,,,,,,,,
Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,319000.0,,,,,,,,,,,,,,,,
Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,450000.0,,,,,,,,,,,,,,,,
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,419000.0,,27406651.26,,,,,,,,273.0,,,,,,
Ypsilanti,MI,Ann Arbor,Washtenaw,227000.0,,,,,,,,,,,,,,,,
Quincy,MA,Boston,Norfolk,399900.0,,,,,,,17631869.82,,,,,,,,128.0,
Virginia Beach,VA,Virginia Beach,Virginia Beach City,200000.0,,,,,,,,,,,,,,,,
Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,439900.0,,27406651.26,,,,,,,,273.0,,,,,,
Olathe,KS,Kansas City,Johnson,299250.0,,,107764.77,,,,39635982.14,,,,4.0,,,,197.0,
Elyria,OH,Cleveland,Lorain,89900.0,,,,,,,,,,,,,,,,
Folsom,CA,Sacramento,Sacramento,565000.0,,,,,,,,,,,,,,,,
Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,460000.0,,27406651.26,,,,,,,,273.0,,,,,,
New York,NY,New York,Kings,609000.0,,,,479132635.5,,,,,,,,343.0,,,,
Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange,666944.0,1009418.48,5351166.91,5900087.86,178470717.7,,,1475602.49,,22.0,81.0,30.0,315.0,,,121.0,
Tucson,AZ,Tucson,Pima,177000.0,,,,,,,,,,,,,,,,
Philadelphia,PA,Philadelphia,Philadelphia,85000.0,,,6316313.88,30402319.43,,,,,,,129.0,234.0,,,,
Austin,TX,Austin,Travis,325000.0,,1351451.95,516476.41,,,,7293313.17,,,14.0,23.0,,,,87.0,
New York,NY,New York,Queens,607499.5,,,,803787716.8,,,,,,,,792.0,,,,
New York,NY,New York,Richmond,529000.0,,,,397023296.9,,,,,,,,155.0,,,,
Chicago,IL,Chicago,Cook,94000.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
Stockbridge,GA,Atlanta,Henry,182900.0,,,326819.49,,,,3049607.18,,,,18.0,,,,83.0,
Jacksonville,FL,Jacksonville,Duval,139900.0,,,,1299333.07,,,3632921.27,,,,,64.0,,,118.0,
Hendersonville,TN,Nashville,Sumner,359489.0,,,,,,,10708957.92,,,,,,,,48.0,
Napa,CA,Napa,Napa,759000.0,11387842.09,,,,,,,,27.0,,,,,,,
Chicago,IL,Chicago,Cook,575000.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
New York,NY,New York,Kings,1150000.0,,,,479132635.5,,,,,,,,343.0,,,,
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,899000.0,,27406651.26,,,,,,,,273.0,,,,,,
Chandler,AZ,Phoenix,Maricopa,258000.0,,,,,,,,,,,,,,,,
Chula Vista,CA,San Diego,San Diego,517500.0,,81483289.38,,,,,,,,208.0,,,,,,
Albuquerque,NM,Albuquerque,Bernalillo,285070.0,,,,,,,,,,,,,,,,
Concord,NC,Charlotte,Cabarrus,300000.0,,,,,,,,,,,,,,,,
Bristol,CT,Hartford,Hartford,179900.0,,,,3218955.95,,,,,,,,156.0,,,,
San Antonio,TX,San Antonio,Bexar,189950.0,,,,,,,2107053.59,,,,,,,,70.0,
Albuquerque,NM,Albuquerque,Bernalillo,239900.0,,,,,,,,,,,,,,,,
Las Vegas,NV,Las Vegas,Clark,199900.0,,,44330.81,,,,5038162.82,,,,2.0,,,,79.0,
Glendale,AZ,Phoenix,Maricopa,315000.0,,,,,,,,,,,,,,,,
New York,NY,New York,Kings,1099000.0,,,,479132635.5,,,,,,,,343.0,,,,
Lancaster,PA,Lancaster,Lancaster,234950.0,,,9819036.02,,,,203823.83,,,,83.0,,,,30.0,
Fresno,CA,Fresno,Fresno,270000.0,,,,,,,,,,,,,,,,
Parker,CO,Denver,Douglas,484950.0,,,217754.22,,,,12857544.02,377283.15,,,23.0,,,,118.0,10.0
Taylor,MI,Detroit,Wayne,89900.0,,,128761667.0,8660431.07,,,7840306.82,60042.8,,,243.0,80.0,,,116.0,3.0
Caguas,TX,Brownsville,Cameron,115500.0,,,,11037795.62,,,1156216.14,,,,,216.0,,,12.0,
Tempe,AZ,Phoenix,Maricopa,279250.0,,,,,,,,,,,,,,,,
Pharr,TX,McAllen,Hidalgo,139000.0,,,556905.18,22328482.43,,,5814518.16,,,,31.0,172.0,,,92.0,
Fairfield,CA,Vallejo,Solano,379900.0,1402341.05,,,,,,,,15.0,,,,,,,
Greensburg,PA,Pittsburgh,Westmoreland,177900.0,,,,,,,,,,,,,,,,
Carmichael,CA,Sacramento,Sacramento,407999.5,,,,,,,,,,,,,,,,
Newark,OH,Columbus,Licking,124900.0,,,,,,,,,,,,,,,,
Westerville,OH,Columbus,Franklin,249350.0,,,2529338.96,9978755.02,,,21106489.18,,,,83.0,259.0,,,262.0,
Mentor,OH,Cleveland,Lake,177900.0,,14777270.81,3728291.51,,,,64085981.68,,,76.0,75.0,,,,251.0,
Aurora,CO,Denver,Arapahoe,335000.0,,,7392599.91,,,,,,,,47.0,,,,,
Pembroke Pines,FL,Miami-Fort Lauderdale,Broward,280000.0,,,,,,,,,,,,,,,,
Silver Spring,MD,Washington,Montgomery,312400.0,,197137.33,17200351.36,29119687.45,,,12201556.48,,,8.0,177.0,304.0,,,161.0,
Hallandale,FL,Miami-Fort Lauderdale,Broward,273500.0,,,,,,,,,,,,,,,,
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1399000.0,,27406651.26,,,,,,,,273.0,,,,,,
Grove City,OH,Columbus,Franklin,219450.0,,,1839674.27,2121991.61,,,36562726.82,,,,24.0,72.0,,,437.0,
Cedar Mill,OR,Portland,Washington,574995.0,,,7217070.8,22131919.88,,,25202378.25,240346.92,,,39.0,172.0,,,356.0,6.0
Burleson,TX,Dallas-Fort Worth,Johnson,265000.0,,,107764.77,,,,39635982.14,,,,4.0,,,,197.0,
Chino Hills,CA,Riverside,San Bernardino,764168.0,,34105349.32,,,,,,,,415.0,,,,,,
New York,NY,New York,Queens,699000.0,,,,803787716.8,,,,,,,,792.0,,,,
Yuma,AZ,Yuma,Yuma,151900.0,,,,,,,,,,,,,,,,
New York,NY,New York,Queens,459000.0,,,,803787716.8,,,,,,,,792.0,,,,
Ithaca,NY,Ithaca,Tompkins,322500.0,,,,,,,,,,,,,,,,
Springfield,MO,Springfield,Greene,134900.0,,,751781.58,12122887.37,,,10381236.1,,,,28.0,120.0,,,179.0,
Bothell,WA,Seattle,Snohomish,599999.5,,,1084341.27,,3015699.63,,1044292.11,,,,41.0,,31.0,,46.0,
Missouri City,TX,Houston,Fort Bend,350000.0,,,9218591.88,11310568.88,,,1409217.77,,,,76.0,128.0,,,36.0,
Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange,899000.0,1009418.48,5351166.91,5900087.86,178470717.7,,,1475602.49,,22.0,81.0,30.0,315.0,,,121.0,
Sacramento,CA,Sacramento,Sacramento,273950.0,,,,,,,,,,,,,,,,
Fort Myers,FL,Fort Myers,Lee,272950.0,,,1715777.67,379418.02,,,10966585.33,,,,20.0,21.0,,,123.0,
Medina,OH,Cleveland,Medina,269990.0,,,,,,,53584.34,,,,,,,,8.0,
Malden,MA,Boston,Middlesex,380000.0,,,,544779558.1,,,34128842.37,,,,,1158.0,,,451.0,
Chicago,IL,Chicago,Cook,104950.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
New York,NY,New York,New York,1725000.0,,,,24625132.25,,,,,,,,442.0,,,,
Greensboro,NC,,Guilford,249000.0,,,,,,,,,,,,,,,,
Hamilton,OH,Cincinnati,Butler,284900.0,,,,,,,25833103.82,,,,,,,,82.0,
Mansfield,TX,Dallas-Fort Worth,Tarrant,350000.0,,,107764.77,,,,39825807.03,,,,4.0,,,,209.0,
Tampa,FL,Tampa,Hillsborough,300000.0,,,,122132.98,,,832441.86,,,,,47.0,,,74.0,
Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange,549500.0,1009418.48,5351166.91,5900087.86,178470717.7,,,1475602.49,,22.0,81.0,30.0,315.0,,,121.0,
New York,NY,New York,Kings,1096500.0,,,,479132635.5,,,,,,,,343.0,,,,
Chicago,IL,Chicago,Cook,290000.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
Toms River,NJ,New York,Ocean,279900.0,,,,907049858.8,,,1874329.46,,,,,846.0,,,54.0,
Stamford,CT,Stamford,Fairfield,499000.0,,,143573.1,67623157.18,,,1943566.71,,,,10.0,244.0,,,73.0,
Columbia,MO,Columbia,Boone,288500.0,,,,,,,1471308.39,,,,,,,,85.0,
West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe,259900.0,,,4146730.51,5149596.72,,,13349106.35,,,,20.0,138.0,,,183.0,
Seattle,WA,Seattle,King,785950.0,,,2960015.36,,,,3289894.16,,,,93.0,,,,117.0,
Hesperia,CA,Riverside,San Bernardino,270000.0,,6698698.06,,,,,,,,142.0,,,,,,
Dallas,TX,Dallas-Fort Worth,Dallas,266500.0,,,,,,,2753419.78,,,,,,,,128.0,
San Diego,CA,San Diego,San Diego,575000.0,,81483289.38,,,,,,,,208.0,,,,,,
Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1079900.0,,27406651.26,,,,,,,,273.0,,,,,,
Greensboro,NC,,Guilford,119900.0,,,,,,,,,,,,,,,,
Des Plaines,IL,Chicago,Cook,229900.0,,,172169402.5,,,,487306063.1,,,,405.0,,,,935.0,
Crown Point,IN,Chicago,Lake,239990.0,,14777270.81,3728291.51,,,,67883341.65,,,76.0,75.0,,,,279.0,
Fort Worth,TX,Dallas-Fort Worth,Tarrant,275000.0,,,,,,,,,,,,,,,,
Fayetteville,NC,Fayetteville,Cumberland,117999.0,,,1121313.78,21531476.25,,,4408453.76,,,,28.0,197.0,,,78.0,
Raleigh,NC,Raleigh,Wake,194900.0,,,,2589022.23,,,5718830.33,,,,,78.0,,,94.0,
